Ingredients,Facts
sodium carboxy,"Sodium carboxymethyl cellulose (CMC) is a cellulose ether with carboxymethyl groups (-CH2-COONa) attached to some of the hydroxyl groups of the cellulose backbone. It is a white to cream-colored, odorless, and tasteless powder that is soluble in water."
sodium carboxy methyl cellulose,"Sodium carboxymethyl cellulose (CMC) is a water-soluble, cellulose-based polymer commonly used as a thickening, stabilizing, and suspending agent. It is a white to off-white granular powder with a faint odor."
sodium carboxymethyl cellulose,"Sodium carboxymethyl cellulose is a water-soluble cellulose derivative used as a thickener, stabilizer, and emulsifier in various industries, including food, cosmetics, and pharmaceuticals. It is commonly present in salad dressings, toothpaste, and detergents."
sodium carboxymethylcellulose gum,"Sodium carboxymethylcellulose gum, also known as cellulose gum, is a versatile food additive made from cellulose. It is a water-soluble, odorless, and tasteless polysaccharide that is used as a thickener, stabilizer, and emulsifier."
sodium caseimate,"Sodium caseinate is a food additive derived from milk proteins and widely used to stabilize and emulsify various foods. It enhances texture, improves moisture retention, and extends shelf life in applications such as cheese, baked goods, and sauces."
sodium caseinate,"Sodium caseinate is a type of casein, a protein found in milk. It is a white, odorless powder that is water-soluble and used as a food additive."
sodium caseinate solids,"Sodium caseinate solids are a dairy derivative that is used as a food additive and stabilizer. They are produced by removing water from casein, a protein found in milk. Sodium caseinate solids are white or cream-colored and have a slightly salty taste."
sodium casienate,"* Sodium caseinate is a milk protein that precipitates when acid is added to milk.
* It is commonly used as an additive in processed foods to thicken sauces, stabilize emulsions, and improve nutritional value."
sodium chloride,"- Sodium chloride, commonly known as salt, is an ionic compound composed of sodium and chlorine ions in a 1:1 ratio.
- It is an essential mineral for human and animal life, playing a crucial role in regulating blood pressure, maintaining fluid balance, and transmitting nerve impulses."
sodium citrate,"Sodium citrate is a salt commonly used as a food additive, particularly as a preservative and an emulsifier. It is also used as an anticoagulant in blood collection tubes to prevent blood clotting during laboratory testing."
sodium copper chlorophyllin,"Sodium copper chlorophyllin is a water-soluble derivative of chlorophyll, the green pigment found in plants. It is used as a food additive to give products a green color. It is also a source of dietary copper and has antioxidant properties."
sodium daves specialty foods division daves christmas wonderland olde world market,"Dave's Christmas Wonderland Olde World Market, a division of Sodium Dave's Specialty Foods, is a seasonal pop-up market dedicated to all things Christmas. Located in Niagara Falls, Ontario, this festive market brings holiday magic to life with its enchanting displays and unique Christmas merchandise."
sodium diphosphate,"Sodium diphosphate is a food additive that acts as an emulsifier, stabilizer, and thickener. It is commonly used in processed foods like processed cheese, cold cuts, and baking mixes."
sodium dodecylbenzene,"Sodium dodecylbenzene is a surfactant used in detergents and soaps. It is derived from sodium hydroxide and dodecylbenzene, a hydrocarbon. It is an effective cleaning agent and is used in a wide range of applications."
sodium erythorbate,Sodium erythorbate is a food additive commonly used as an antioxidant to prevent discoloration and extend shelf life. It is a derivative of vitamin C and is considered harmless for human consumption.
sodium gluconate,"Sodium gluconate is a food additive used in the food industry as a chelating agent, sequestrant, emulsifier, and antioxidant. It is a white to off-white powder that is soluble in water and has a slightly salty taste. Sodium gluconate is generally recognized as safe (GRAS) by the FDA."
sodium hexametaphosphate,"Sodium hexametaphosphate is a white, crystalline powder that is used as a water softener and as a food additive. It is also used as a corrosion inhibitor in cooling water systems."
sodium hydrogen carbonate,"Sodium hydrogen carbonate, also known as baking soda, is a white powder that is used as a leavening agent in baking. It is also used as an antacid to neutralize stomach acid."
sodium hydrogen diacetate,"Sodium hydrogen diacetate (SHDA) is a food preservative often used as a substitute for vinegar. It inhibits mold and bacterial growth effectively and is commonly used in baked goods, sauces, and dressings."
sodium hydrosulfite,Sodium hydrosulfite is a strong reducing agent and is soluble in water. It is commonly used in the paper and textile industries as a bleaching agent.
sodium inosinate,Sodium inosinate is a flavor enhancer commonly used in processed foods to enhance savory umami flavors. It is often combined with monosodium glutamate (MSG) to create a synergistic flavor-boosting effect.
sodium lactate,"Sodium lactate is a salt of lactic acid, found naturally in fermented foods like yogurt, cheese, and sauerkraut. It is commonly used as a food additive to preserve and enhance flavor, acting as a stabilizer and acidity regulator."
sodium lauryl sulfite,"Sodium lauryl sulfite is a surfactant that is used in many personal care products, such as shampoos, body washes, and toothpastes. It is also used in industrial cleaning products and in water treatment."
sodium lauryl sulfite aid,"Sodium lauryl sulfite aid is a surfactant, meaning it helps dissolve oils and fats. It is commonly used in toothpastes, shampoos, and other personal care products to create a lather."
